Date,Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount ,Location,Size,Color,Season,Review Rating,Subscription Status,Discount Applied,Promo Code Used
2023/12/27,CG-12520,55,Male,Blouse,Clothing,53,Zhejiang,L,Gray,Winter,3.1,Yes,Yes,Yes
2023/3/6,CG-12520,19,Male,Sweater,Clothing,64,Shandong,L,Maroon,Spring,3.1,Yes,Yes,Yes
2023/2/5,DV-13045,50,Male,Jeans,Clothing,73,Hebei,S,Maroon,Winter,3.1,Yes,Yes,Yes
2023/7/11,SO-20335,21,Male,Sandals,Footwear,90,Heilongjiang,M,Maroon,Summer,3.5,Yes,Yes,Yes
2023/6/24,SO-20335,45,Male,Blouse,Clothing,49,Liaoning,M,Turquoise,Summer,2.7,Yes,Yes,Yes
2023/1/24,BH-11710,46,Male,Sneakers,Footwear,20,Shandong,M,White,Winter,2.9,Yes,Yes,Yes
2023/11/8,BH-11710,63,Male,Shirt,Clothing,85,Hunan,M,Gray,Fall,3.2,Yes,Yes,Yes
2023/1/14,BH-11710,27,Male,Shorts,Clothing,34,Jiangsu,L,Charcoal,Winter,3.2,Yes,Yes,Yes
2023/8/3,BH-11710,26,Male,Coat,Outerwear,97,Chongqing,L,Silver,Summer,2.6,Yes,Yes,Yes
2023/12/3,BH-11710,57,Male,Handbag,Accessories,31,Sichuan,M,Pink,Winter,4.8,Yes,Yes,Yes
2023/2/9,BH-11710,53,Male,Shoes,Footwear,34,Hebei,L,Purple,Winter,4.1,Yes,Yes,Yes
2023/10/24,BH-11710,30,Male,Shorts,Clothing,68,Sichuan,S,Olive,Fall,4.9,Yes,Yes,Yes
2023/8/22,AA-10480,61,Male,Coat,Outerwear,72,Shanghai,M,Gold,Summer,4.5,Yes,Yes,Yes
2023/11/9,IM-15070,65,Male,Dress,Clothing,51,Liaoning,M,Violet,Fall,4.7,Yes,Yes,Yes
2023/12/20,HP-14815,64,Male,Coat,Outerwear,53,Guangdong,L,Teal,Winter,4.7,Yes,Yes,Yes
2023/5/20,HP-14815,64,Male,Skirt,Clothing,81,Guangdong,M,Teal,Spring,2.8,Yes,Yes,Yes
2023/1/21,PK-19075,25,Male,Sunglasses,Accessories,36,Hunan,S,Gray,Winter,4.1,Yes,Yes,Yes
2023/1/8,AG-10270,53,Male,Dress,Clothing,38,Shandong,XL,Lavender,Winter,4.7,Yes,Yes,Yes
2023/9/25,ZD-21925,52,Male,Sweater,Clothing,48,Beijing,S,Black,Fall,4.6,Yes,Yes,Yes
2023/4/7,ZD-21925,66,Male,Pants,Clothing,90,Sichuan,M,Green,Spring,3.3,Yes,Yes,Yes
2023/10/12,ZD-21925,21,Male,Pants,Clothing,51,Anhui,M,Black,Fall,2.8,Yes,Yes,Yes
2023/3/19,KB-16585,31,Male,Pants,Clothing,62,Shanghai,M,Charcoal,Spring,4.1,Yes,Yes,Yes
2023/12/15,KB-16585,56,Male,Pants,Clothing,37,Guangdong,M,Peach,Winter,3.2,Yes,Yes,Yes
2023/7/1,SF-20065,31,Male,Pants,Clothing,88,Shanghai,XL,White,Summer,4.4,Yes,Yes,Yes
2023/12/22,EB-13870,18,Male,Jacket,Outerwear,22,Guangdong,M,Green,Winter,2.9,Yes,Yes,Yes
2023/12/2,EH-13945,18,Male,Hoodie,Clothing,25,Guangdong,M,Silver,Winter,3.6,Yes,Yes,Yes
2023/11/12,EH-13945,38,Male,Jewelry,Accessories,20,Hubei,M,Red,Fall,3.6,Yes,Yes,Yes
2023/2/16,TB-21520,56,Male,Shorts,Clothing,56,Guangdong,L,Cyan,Winter,5,Yes,Yes,Yes
2023/6/2,TB-21520,54,Male,Handbag,Accessories,94,Ningxia,M,Gray,Summer,4.4,Yes,Yes,Yes
2023/1/5,TB-21520,31,Male,Dress,Clothing,48,Shandong,S,Black,Winter,4.1,Yes,Yes,Yes
2023/12/24,TB-21520,57,Male,Jewelry,Accessories,31,Beijing,L,Black,Winter,4.7,Yes,Yes,Yes
2023/8/23,TB-21520,33,Male,Dress,Clothing,79,Hubei,L,Brown,Summer,4.7,Yes,Yes,Yes
2023/11/15,TB-21520,36,Male,Jacket,Outerwear,67,Tibet,M,Silver,Fall,4.9,Yes,Yes,Yes
2023/4/9,TB-21520,54,Male,Pants,Clothing,38,Shanghai,L,Green,Spring,3.3,Yes,Yes,Yes
2023/2/7,MA-17560,36,Male,T-shirt,Clothing,91,Zhejiang,L,Violet,Winter,4.6,Yes,Yes,Yes
2023/7/29,GH-14485,54,Male,Blouse,Clothing,33,Guangdong,M,Cyan,Summer,4,Yes,Yes,Yes
2023/4/2,GH-14485,35,Male,T-shirt,Clothing,69,Shanxi,M,Maroon,Spring,4.6,Yes,Yes,Yes
2023/4/19,SN-20710,35,Male,Jeans,Clothing,45,Sichuan,S,Cyan,Spring,2.8,Yes,Yes,Yes
2023/4/13,SN-20710,29,Male,Dress,Clothing,37,Guizhou,M,Red,Spring,3.7,Yes,Yes,Yes
2023/8/26,SN-20710,70,Male,Pants,Clothing,60,Anhui,S,Turquoise,Summer,4.2,Yes,Yes,Yes
2023/6/5,SN-20710,69,Male,Handbag,Accessories,76,Qinghai,L,Beige,Summer,4.6,Yes,Yes,Yes
2023/9/20,LC-16930,67,Male,Scarf,Accessories,39,Hubei,M,Orange,Fall,4.5,Yes,Yes,Yes
2023/8/26,RA-19885,20,Male,Coat,Outerwear,100,Shanghai,M,Beige,Summer,4.1,Yes,Yes,Yes
2023/2/12,ES-14080,25,Male,Scarf,Accessories,69,Tianjin,L,Lavender,Winter,3.7,Yes,Yes,Yes
2023/7/15,ON-18715,39,Male,Hat,Accessories,53,Hubei,S,Silver,Summer,4.6,Yes,Yes,Yes
2023/1/13,ON-18715,50,Male,Socks,Clothing,21,Jiangsu,XL,Indigo,Winter,2.9,Yes,Yes,Yes
2023/12/15,PO-18865,57,Male,Shirt,Clothing,43,Tianjin,L,White,Winter,2.9,Yes,Yes,Yes
2023/7/30,LH-16900,55,Male,Jewelry,Accessories,54,Chongqing,M,Charcoal,Summer,4.5,Yes,Yes,Yes
2023/4/11,LH-16900,42,Male,Shirt,Clothing,55,Anhui,M,Orange,Spring,2.7,Yes,Yes,Yes
2023/8/20,DP-13000,68,Male,Hoodie,Clothing,30,Qinghai,S,Indigo,Summer,4.6,Yes,Yes,Yes
2023/12/30,DP-13000,49,Male,Blouse,Clothing,28,Henan,M,Red,Winter,3.7,Yes,Yes,Yes
2023/3/17,DP-13000,59,Male,Skirt,Clothing,59,Guangdong,XL,Gray,Spring,4.7,Yes,Yes,Yes
2023/7/16,DP-13000,42,Male,T-shirt,Clothing,20,Beijing,M,Green,Summer,2.6,Yes,Yes,Yes
2023/7/3,JM-15265,29,Male,Skirt,Clothing,24,Jilin,S,Peach,Summer,3.9,Yes,Yes,Yes
2023/7/7,JM-15265,47,Male,Coat,Outerwear,94,Beijing,M,Brown,Summer,4.2,Yes,Yes,Yes
2023/4/16,TB-21055,40,Male,Jacket,Outerwear,28,Guizhou,M,Lavender,Spring,3,Yes,Yes,Yes
2023/10/23,TB-21055,41,Male,Backpack,Accessories,73,Shandong,XL,Brown,Fall,4.7,Yes,Yes,Yes
2023/5/3,TB-21055,21,Male,Coat,Outerwear,64,Shaanxi,M,White,Spring,4.4,Yes,Yes,Yes
2023/11/17,TB-21055,69,Male,Hoodie,Clothing,54,Shanxi,M,Charcoal,Fall,4.2,Yes,Yes,Yes
2023/10/5,TB-21055,63,Male,Belt,Accessories,79,Xinjiang,L,Yellow,Fall,4.6,Yes,Yes,Yes
2023/7/10,TB-21055,50,Male,Sweater,Clothing,37,Hunan,L,Brown,Summer,4,Yes,Yes,Yes
2023/2/7,TB-21055,55,Male,Scarf,Accessories,68,Fujian,M,Orange,Winter,4.7,Yes,Yes,Yes
2023/4/11,KM-16720,30,Male,Sneakers,Footwear,21,Guangdong,S,Magenta,Spring,3.8,Yes,Yes,Yes
2023/9/17,KM-16720,33,Male,Sunglasses,Accessories,79,Hebei,L,Lavender,Fall,2.7,Yes,Yes,Yes
2023/9/15,KM-16720,65,Male,Boots,Footwear,83,Shanghai,S,Green,Fall,4.8,Yes,Yes,Yes
2023/4/14,KM-16720,65,Male,Backpack,Accessories,36,Jiangsu,M,Purple,Spring,4.8,Yes,Yes,Yes
2023/2/7,PS-18970,31,Male,Blouse,Clothing,94,Hubei,S,Magenta,Winter,4.7,Yes,Yes,Yes
2023/9/22,BS-11590,45,Male,Coat,Outerwear,33,Jilin,L,Gray,Fall,4.4,Yes,Yes,Yes
2023/2/19,BS-11590,57,Male,Handbag,Accessories,46,Hunan,L,Silver,Winter,3.9,Yes,Yes,Yes
2023/7/22,KD-16270,48,Male,Belt,Accessories,70,Jiangsu,S,Cyan,Summer,4.4,Yes,Yes,Yes
2023/8/4,HM-14980,22,Male,Belt,Accessories,29,Jiangxi,M,Magenta,Summer,4.2,Yes,Yes,Yes
2023/11/16,TB-21520,36,Male,Dress,Clothing,48,Guangdong,L,Gold,Fall,2.9,Yes,Yes,Yes
2023/1/15,JE-15745,18,Male,Dress,Clothing,26,Fujian,M,Olive,Winter,2.9,Yes,Yes,Yes
2023/9/8,JE-15745,48,Male,Pants,Clothing,85,Anhui,M,Teal,Fall,2.7,Yes,Yes,Yes
2023/12/3,JE-15745,49,Male,Gloves,Accessories,58,Sichuan,L,Violet,Winter,4.5,Yes,Yes,Yes
2023/12/19,KB-16600,64,Male,Scarf,Accessories,85,Hubei,M,Blue,Winter,2.7,Yes,Yes,Yes
2023/10/27,KB-16600,50,Male,Hat,Accessories,43,Shanghai,S,Teal,Fall,4.2,Yes,Yes,Yes
2023/6/5,KB-16600,22,Male,Dress,Clothing,53,Sichuan,L,Gold,Summer,3.3,Yes,Yes,Yes
2023/9/19,JE-15745,50,Male,Skirt,Clothing,91,Sichuan,M,Maroon,Fall,4.7,Yes,Yes,Yes
